Experiment	Experiment	
Saved Date	10.05.2019 15:29:28	
User		
f_res (Hz)	88185.4831	
Q	5.50	
Phase (deg)	-195.97	
Amp/Exc (nm/mV)	5317.437	
Number of points	256	
Fit length	 	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	300E-3	
Oscillation Control>Center Frequency (Hz)	88.1855E+3	
Oscillation Control>Range (Hz)	19.5312E+3	
Oscillation Control>Demod 1 Input	0	
Oscillation Control>Demod 2 Input	0	
Oscillation Control>Demod 3 Input	0	
Oscillation Control>Demod 4 Input	0	
Oscillation Control>Demod 1 Frequency	0	
Oscillation Control>Demod 2 Frequency	0	
Oscillation Control>Demod 3 Frequency	0	
Oscillation Control>Demod 4 Frequency	0	
Oscillation Control>Demod 1 Reference Phase (deg)	195.97E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	 3	
Oscillation Control>Demod 2 Filter Order	 2	
Oscillation Control>Demod 3 Filter Order	 2	
Oscillation Control>Demod 4 Filter Order	 2	
Oscillation Control>Phase P gain (Hz/rad)	182E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	307E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	-225.71E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	-4.49372E+12	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	2E+0	
Oscillation Control>output divider	3	
Oscillation Control>output off	TRUE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	5.5E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	-8.46442E+9	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	10.4278E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	5.31744E-3	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-19.500000E+3	88.245672E+3	5.1415884E-3	84.052536E+0
-19.347059E+3	88.245672E+3	5.1914672E-3	83.660683E+0
-19.194117E+3	88.245672E+3	5.3195367E-3	83.645027E+0
-19.041176E+3	88.245672E+3	5.2176449E-3	81.983887E+0
-18.888234E+3	88.245672E+3	5.3811944E-3	83.118225E+0
-18.735293E+3	88.245672E+3	5.4182126E-3	83.345215E+0
-18.582352E+3	88.245672E+3	5.3356555E-3	82.135696E+0
-18.429410E+3	88.245672E+3	5.4789209E-3	81.728058E+0
-18.276469E+3	88.245672E+3	5.4817428E-3	82.575180E+0
-18.123527E+3	88.245672E+3	5.4439455E-3	80.898155E+0
-17.970586E+3	88.245672E+3	5.5413810E-3	79.981880E+0
-17.817645E+3	88.245672E+3	5.4661562E-3	80.178688E+0
-17.664703E+3	88.245672E+3	5.4919613E-3	79.930504E+0
-17.511762E+3	88.245672E+3	5.5322344E-3	79.323044E+0
-17.358820E+3	88.245672E+3	5.6286077E-3	79.645897E+0
-17.205879E+3	88.245672E+3	5.6687328E-3	78.924591E+0
-17.052937E+3	88.245672E+3	5.6920978E-3	78.606598E+0
-16.899996E+3	88.245672E+3	5.6840018E-3	78.650475E+0
-16.747055E+3	88.245672E+3	5.6791236E-3	78.358757E+0
-16.594113E+3	88.245672E+3	5.7961009E-3	77.384811E+0
-16.441172E+3	88.245672E+3	5.8245827E-3	78.554779E+0
-16.288230E+3	88.245672E+3	5.9605497E-3	78.537453E+0
-16.135289E+3	88.245672E+3	5.7908976E-3	77.105576E+0
-15.982348E+3	88.245672E+3	5.9539429E-3	76.783920E+0
-15.829406E+3	88.245672E+3	5.8550201E-3	75.834702E+0
-15.676465E+3	88.245672E+3	5.9182309E-3	76.039200E+0
-15.523523E+3	88.245672E+3	6.0670669E-3	76.413651E+0
-15.370582E+3	88.245672E+3	5.8753458E-3	76.173523E+0
-15.217641E+3	88.245672E+3	6.1150398E-3	74.388733E+0
-15.064699E+3	88.245672E+3	5.9791543E-3	74.305374E+0
-14.911758E+3	88.245672E+3	6.1909254E-3	74.902214E+0
-14.758816E+3	88.245672E+3	6.1067343E-3	75.116608E+0
-14.605875E+3	88.245672E+3	6.2604276E-3	73.091530E+0
-14.452934E+3	88.245672E+3	6.3174372E-3	72.280197E+0
-14.299992E+3	88.245672E+3	6.3558123E-3	72.285515E+0
-14.147051E+3	88.245672E+3	6.2249652E-3	71.048424E+0
-13.994109E+3	88.245672E+3	6.3779424E-3	73.147903E+0
-13.841168E+3	88.245672E+3	6.3766153E-3	72.303192E+0
-13.688227E+3	88.245672E+3	6.5485071E-3	71.172157E+0
-13.535285E+3	88.245672E+3	6.4494978E-3	70.665794E+0
