Experiment	Experiment	
Saved Date	10.05.2019 14:32:35	
User		
f_res (Hz)	88544.3524	
Q	6.85	
Phase (deg)	-197.38	
Amp/Exc (nm/mV)	6507.281	
Number of points	256	
Fit length	 	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	300E-3	
Oscillation Control>Center Frequency (Hz)	88.5444E+3	
Oscillation Control>Range (Hz)	19.5312E+3	
Oscillation Control>Demod 1 Input	0	
Oscillation Control>Demod 2 Input	0	
Oscillation Control>Demod 3 Input	0	
Oscillation Control>Demod 4 Input	0	
Oscillation Control>Demod 1 Frequency	0	
Oscillation Control>Demod 2 Frequency	0	
Oscillation Control>Demod 3 Frequency	0	
Oscillation Control>Demod 4 Frequency	0	
Oscillation Control>Demod 1 Reference Phase (deg)	197.38E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	 3	
Oscillation Control>Demod 2 Filter Order	 2	
Oscillation Control>Demod 3 Filter Order	 2	
Oscillation Control>Demod 4 Filter Order	 2	
Oscillation Control>Phase P gain (Hz/rad)	182E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	307E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	-225.71E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	-4.49372E+12	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	2E+0	
Oscillation Control>output divider	3	
Oscillation Control>output off	TRUE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	6.85E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	-8.46442E+9	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	10.4278E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	6.50728E-3	

[DATA]
OC M1 Freq. Shift (Hz)	OC M1 Center Freq. (Hz)	OC D1 Amplitude (m)	OC D1 Phase (deg)
-19.500000E+3	88.571859E+3	5.1964298E-3	90.184158E+0
-19.347059E+3	88.571859E+3	5.2250521E-3	89.291054E+0
-19.194117E+3	88.571859E+3	5.3885365E-3	89.012161E+0
-19.041176E+3	88.571859E+3	5.3465343E-3	88.896057E+0
-18.888234E+3	88.571859E+3	5.4269601E-3	88.977409E+0
-18.735293E+3	88.571859E+3	5.4430738E-3	88.204170E+0
-18.582352E+3	88.571859E+3	5.4423241E-3	88.970398E+0
-18.429410E+3	88.571859E+3	5.4295612E-3	88.245636E+0
-18.276469E+3	88.571859E+3	5.5846251E-3	87.864853E+0
-18.123527E+3	88.571859E+3	5.5177105E-3	86.854881E+0
-17.970586E+3	88.571859E+3	5.5675749E-3	87.691353E+0
-17.817645E+3	88.571859E+3	5.5078296E-3	86.739166E+0
-17.664703E+3	88.571859E+3	5.5177645E-3	86.777489E+0
-17.511762E+3	88.571859E+3	5.5535301E-3	86.311699E+0
-17.358820E+3	88.571859E+3	5.8023008E-3	85.973122E+0
-17.205879E+3	88.571859E+3	5.7080793E-3	84.859566E+0
-17.052937E+3	88.571859E+3	5.7802908E-3	84.990112E+0
-16.899996E+3	88.571859E+3	5.9052659E-3	85.704025E+0
-16.747055E+3	88.571859E+3	5.8539398E-3	84.260918E+0
-16.594113E+3	88.571859E+3	5.9880107E-3	83.378426E+0
-16.441172E+3	88.571859E+3	5.9413202E-3	84.997757E+0
-16.288230E+3	88.571859E+3	5.8774697E-3	83.565025E+0
-16.135289E+3	88.571859E+3	6.0407608E-3	83.385300E+0
-15.982348E+3	88.571859E+3	5.9957672E-3	83.120224E+0
-15.829406E+3	88.571859E+3	6.0784989E-3	82.310387E+0
-15.676465E+3	88.571859E+3	6.1554406E-3	83.256493E+0
-15.523523E+3	88.571859E+3	6.2373416E-3	82.335663E+0
-15.370582E+3	88.571859E+3	6.1662872E-3	82.025383E+0
-15.217641E+3	88.571859E+3	6.2252735E-3	81.659752E+0
-15.064699E+3	88.571859E+3	6.2831957E-3	80.689133E+0
-14.911758E+3	88.571859E+3	6.3631046E-3	80.518623E+0
-14.758816E+3	88.571859E+3	6.3773650E-3	80.522270E+0
-14.605875E+3	88.571859E+3	6.4996374E-3	80.000237E+0
-14.452934E+3	88.571859E+3	6.5019312E-3	79.487167E+0
-14.299992E+3	88.571859E+3	6.5062428E-3	79.804825E+0
-14.147051E+3	88.571859E+3	6.4604972E-3	79.390373E+0
-13.994109E+3	88.571859E+3	6.5151709E-3	79.754837E+0
-13.841168E+3	88.571859E+3	6.6087525E-3	78.483696E+0
-13.688227E+3	88.571859E+3	6.6708848E-3	76.526543E+0
-13.535285E+3	88.571859E+3	6.6459677E-3	78.886139E+0
-13.382344E+3	88.571859E+3	6.6515943E-3	77.110703E+0
-13.229402E+3	88.571859E+3	6.7942790E-3	76.780876E+0
-13.076461E+3	88.571859E+3	6.9761896E-3	76.651169E+0
-12.923520E+3	88.571859E+3	6.8584862E-3	77.278702E+0
-12.770578E+3	88.571859E+3	6.9728927E-3	75.179520E+0
-12.617637E+3	88.571859E+3	6.9800895E-3	74.385551E+0
-12.464695E+3	88.571859E+3	6.9469055E-3	74.760254E+0
-12.311754E+3	88.571859E+3	7.1082017E-3	75.131882E+0
-12.158812E+3	88.571859E+3	7.2583440E-3	74.326012E+0
-12.005871E+3	88.571859E+3	7.1969284E-3	73.869019E+0
-11.852930E+3	88.571859E+3	7.2286208E-3	73.168549E+0
-11.699988E+3	88.571859E+3	7.3226509E-3	73.245613E+0
-11.547047E+3	88.571859E+3	7.3154429E-3	73.028267E+0
-11.394105E+3	88.571859E+3	7.3849186E-3	71.854599E+0
-11.241164E+3	88.571859E+3	7.5029177E-3	71.578125E+0
-11.088223E+3	88.571859E+3	7.6781795E-3	70.299042E+0
-10.935281E+3	88.571859E+3	7.7533894E-3	70.560524E+0
-10.782340E+3	88.571859E+3	7.6697380E-3	69.587975E+0
-10.629398E+3	88.571859E+3	7.6624113E-3	69.556168E+0
-10.476457E+3	88.571859E+3	7.8825373E-3	68.637642E+0
-10.323516E+3	88.571859E+3	7.9492796E-3	69.318428E+0
-10.170574E+3	88.571859E+3	7.8793988E-3	67.922256E+0
-10.017633E+3	88.571859E+3	8.0180289E-3	67.128700E+0
-9.8646914E+3	88.571859E+3	8.0105346E-3	67.703156E+0
-9.7117500E+3	88.571859E+3	8.1301993E-3	66.782135E+0
-9.5588086E+3	88.571859E+3	8.1787799E-3	65.561852E+0
-9.4058672E+3	88.571859E+3	8.3499029E-3	65.599144E+0
-9.2529258E+3	88.571859E+3	8.5402559E-3	64.641022E+0
-9.0999844E+3	88.571859E+3	8.6685000E-3	63.893505E+0
-8.9470430E+3	88.571859E+3	8.5920664E-3	64.455688E+0
-8.7941016E+3	88.571859E+3	8.6353151E-3	62.444893E+0
-8.6411602E+3	88.571859E+3	8.6321551E-3	62.340820E+0
-8.4882187E+3	88.571859E+3	8.8665877E-3	61.499359E+0
-8.3352773E+3	88.571859E+3	8.8798301E-3	61.364094E+0
-8.1823359E+3	88.571859E+3	8.9438502E-3	61.239872E+0
-8.0293945E+3	88.571859E+3	8.9859264E-3	59.425270E+0
-7.8764531E+3	88.571859E+3	9.2561804E-3	59.464397E+0
-7.7235117E+3	88.571859E+3	9.2233289E-3	58.465378E+0
-7.5705703E+3	88.571859E+3	9.3537727E-3	57.820457E+0
-7.4176289E+3	88.571859E+3	9.4753252E-3	56.509949E+0
-7.2646875E+3	88.571859E+3	9.4754947E-3	56.084385E+0
-7.1117461E+3	88.571859E+3	9.5397523E-3	56.722927E+0
-6.9588047E+3	88.571859E+3	9.7745545E-3	54.265972E+0
