Experiment	LongTerm Data	
Saved Date	10.05.2019 16:49:12	
User		
Base Timestamp	2019-05-10 15:29:43.76	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	1E+0	
Oscillation Control>Input Range (m)	300E-3	
Oscillation Control>Center Frequency (Hz)	88.1855E+3	
Oscillation Control>Range (Hz)	19.5312E+3	
Oscillation Control>Demod 1 Input	0	
Oscillation Control>Demod 2 Input	0	
Oscillation Control>Demod 3 Input	0	
Oscillation Control>Demod 4 Input	0	
Oscillation Control>Demod 1 Frequency	0	
Oscillation Control>Demod 2 Frequency	0	
Oscillation Control>Demod 3 Frequency	0	
Oscillation Control>Demod 4 Frequency	0	
Oscillation Control>Demod 1 Reference Phase (deg)	195.97E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	0E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	 3	
Oscillation Control>Demod 2 Filter Order	 2	
Oscillation Control>Demod 3 Filter Order	 2	
Oscillation Control>Demod 4 Filter Order	 2	
Oscillation Control>Phase P gain (Hz/rad)	182E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	307E+0	
Oscillation Control>Phase controller on	TRUE	
Oscillation Control>FrequencyShift (Hz)	-1.64226E+3	
Oscillation Control>Amplitude Setpoint (m)	10E-9	
Oscillation Control>Amplitude P gain (V/nm)	-225.71E+6	
Oscillation Control>Amplitude I gain (V/nm/s)	-4.49372E+12	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	2E+0	
Oscillation Control>output divider	3	
Oscillation Control>output off	TRUE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	5.5E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	-8.46442E+9	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	10.4278E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	5.31744E-3	

[DATA]
Rel. Time (s)	OC M1 Freq. Shift (Hz)
0.0000000E+0	-1.1146031E+2
1.0021000E+0	-7.9804527E+1
2.0001998E+0	-1.2981165E+2
3.0002999E+0	-1.1291254E+2
4.0004001E+0	-1.4779854E+2
5.0004997E+0	-1.0378873E+2
6.0026002E+0	-1.1111382E+2
7.0007000E+0	-1.3343669E+2
8.0038004E+0	-1.1991490E+2
9.0029001E+0	-6.7452980E+1
1.0004000E+1	-1.3009627E+2
1.1001101E+1	-1.2630317E+2
1.2004200E+1	-9.2826935E+1
1.3001300E+1	-1.3946420E+2
1.4000400E+1	-1.0797966E+2
1.5000500E+1	-8.8054230E+1
1.6000599E+1	-8.8980965E+1
1.7000700E+1	-7.6322052E+1
1.8003799E+1	-1.2816942E+2
1.9000900E+1	-1.1164960E+2
2.0004000E+1	-1.0904250E+2
2.1001099E+1	-8.0914520E+1
2.2004200E+1	-1.2975551E+2
2.3001301E+1	-9.7779259E+1
2.4004400E+1	-1.1739684E+2
2.5002501E+1	-1.1449214E+2
2.6004601E+1	-9.8735939E+1
2.7001699E+1	-9.4626945E+1
2.8004801E+1	-1.1311200E+2
2.9002899E+1	-1.2680260E+2
