Cytomass frequency sweep file		
		
File creation date:	6/1/18	
File creation time:	1:44:46 PM	
		
Sweep parameters		
Centre frequency (Hz):	51186.07735	
Sweep range (Hz):	50000	
Excitation amplitude (V):	4.42	
Number of points:	256	
Step time (s):	0.1	
		
		
Fit parameters		
Q factor:	2.630017	
Prior reference phase (deg):	148.653705	
Phase offset (deg):	-0.154665	
New reference phase (deg):	148.80837	
Reference frequency (Hz):	51186.07735	
Peak amplitude frequency (Hz):	50965.09135	
		
		
Sweep data		
Frequency (Hz)	Amplitude (V)	Phase (deg)
59405.2	0.00742	85.3643
59558.1	0.0071	88.393
59711.1	0.00745	87.6193
59864	0.00743	83.9627
60016.9	0.00751	86.3889
60169.9	0.00766	83.28
60322.8	0.00759	83.3674
60475.8	0.00752	83.321
60628.7	0.00754	86.328
60781.6	0.00748	83.7437
60934.6	0.00748	85.6795
61087.5	0.00775	84.9736
61240.5	0.00804	83.2783
61393.4	0.00792	84.7317
61546.4	0.00811	82.3791
61699.3	0.00779	81.2305
61852.2	0.00798	80.6123
62005.2	0.00803	81.1996
62158.1	0.00787	82.4432
62311.1	0.0084	81.1557
62464	0.00809	79.27
62616.9	0.00849	79.5945
62769.9	0.00825	79.3067
62922.8	0.00786	78.9927
63075.8	0.00856	77.4939
63228.7	0.00869	74.9266
63381.7	0.00811	76.6402
63534.6	0.00855	75.0715
63687.5	0.00854	73.5894
63840.5	0.00865	75.0561
63993.4	0.00823	74.8886
64146.4	0.00879	75.081
64299.3	0.00856	76.4979
64452.2	0.00873	72.3177
64605.2	0.0088	74.3016
64758.1	0.00869	74.0992
64911.1	0.00894	73.1216
65064.01	0.00871	71.2346
65216.95	0.00911	71.2068
65369.89	0.0091	68.5826
65522.83	0.00911	70.7987
65675.77	0.00928	68.0979
65828.72	0.00928	69.2873
65981.66	0.0093	69.5471
66134.6	0.00965	69.4153
66287.54	0.00927	69.2165
66440.48	0.00977	66.7475
66593.42	0.0096	67.2714
66746.36	0.00997	65.1719
66899.31	0.00988	66.0709
67052.25	0.01008	65.5821
67205.19	0.00974	64.5697
67358.13	0.01027	61.75
67511.07	0.01022	59.8113
67664.01	0.0106	61.7077
67816.95	0.01056	60.4581
67969.9	0.0108	60.4854
68122.84	0.01075	59.3641
68275.78	0.01084	56.0624
68428.72	0.01084	55.6131
68581.66	0.01106	55.0658
68734.6	0.01084	55.7668
68887.54	0.01156	53.8589
69040.49	0.01132	52.7051
69193.43	0.0116	53.2332
69346.37	0.01176	49.5857
69499.31	0.01169	49.9612
69652.25	0.01199	49.205
69805.19	0.01195	49.202
69958.13	0.01221	45.3867
70111.08	0.01247	44.871
70264.02	0.01222	43.5381
70416.96	0.01245	44.0845
70569.9	0.01246	42.392
70722.84	0.01268	41.3733
70875.78	0.01261	41.0998
71028.72	0.01269	37.768
71181.66	0.01304	38.5443
71334.61	0.0133	36.1953
71487.55	0.01337	36.0716
71640.49	0.01337	35.125
71793.43	0.01347	31.6975
71946.37	0.01392	32.9354
72099.31	0.01332	29.385
72252.25	0.01394	28.6284
72405.19	0.01388	27.1469
72558.13	0.01395	26.9258
72711.08	0.01402	23.9444
72864.02	0.01409	22.8631
73016.96	0.01394	21.0703
73169.9	0.01389	20.131
73322.84	0.01441	17.9481
73475.78	0.01458	17.6649
73628.72	0.01419	15.7067
73781.66	0.01445	12.7696
73934.605	0.01441	13.2319
74087.546	0.01441	11.7375
74240.487	0.01447	9.11959
74393.429	0.01448	9.02788
74546.37	0.01461	6.43343
74699.311	0.01462	4.789
74852.252	0.01443	2.79527
75005.1932	0.01444	0.02338
75158.134	0.01409	0.08601
75311.076	0.01463	-3.61273
75464.017	0.01429	-4.15105
75616.958	0.01392	-6.49945
75769.899	0.01398	-7.72457
75922.84	0.0142	-7.44727
76075.78	0.01378	-9.90838
76228.72	0.01391	-11.9811
76381.66	0.01403	-12.5089
76534.6	0.01365	-13.9179
76687.55	0.01318	-16.0549
76840.49	0.01356	-15.2907
76993.43	0.01337	-20.0525
77146.37	0.0133	-21.1798
77299.31	0.01305	-23.0632
77452.25	0.01255	-24.1755
77605.19	0.01321	-25.4036
77758.13	0.0127	-27.3173
77911.08	0.01261	-26.8749
78064.02	0.01243	-30.3883
78216.96	0.01207	-30.7583
78369.9	0.01201	-31.5218
78522.84	0.0119	-33.8542
78675.78	0.012	-33.8048
78828.72	0.01157	-34.6089
78981.66	0.01188	-35.8233
79134.6	0.01119	-36.7311
79287.55	0.01118	-36.2154
79440.49	0.01108	-40.3127
79593.43	0.01095	-41.2534
79746.37	0.01083	-42.6092
79899.31	0.01028	-42.5359
80052.25	0.01063	-44.9782
80205.19	0.01037	-44.4323
80358.14	0.01	-45.5088
80511.08	0.00981	-45.7048
80664.02	0.00995	-49.1797
80816.96	0.00971	-49.9905
80969.9	0.00964	-49.7801
81122.84	0.00958	-49.4429
81275.78	0.00966	-53.7703
81428.73	0.00923	-50.7132
81581.67	0.00939	-53.0288
81734.61	0.00898	-53.8789
81887.55	0.00885	-54.7905
82040.49	0.00879	-55.345
82193.43	0.00867	-57.3798
82346.37	0.00859	-56.6248
82499.32	0.00841	-57.6878
82652.26	0.00823	-55.6669
82805.2	0.00848	-59.0427
82958.14	0.00822	-57.741
83111.08	0.00812	-60.0199
83264.02	0.00815	-61.303
83416.96	0.00811	-57.8755
83569.91	0.00819	-66.1123
83722.85	0.00746	-63.4843
83875.79	0.00747	-65.5126
84028.73	0.00726	-66.5239
84181.67	0.0073	-61.3255
84334.61	0.00731	-65.3266
84487.55	0.00735	-63.0375
84640.49	0.00709	-65.9043
84793.44	0.0072	-67.6666
84946.4	0.00725	-66.0373
85099.3	0.0076	-67.9065
85252.3	0.00663	-70.1848
85405.2	0.00677	-65.393
85558.1	0.00707	-68.1224
85711.1	0.00669	-72.0938
85864	0.00668	-70.7581
86017	0.00647	-76.7783
86169.9	0.00649	-73.9618
86322.9	0.00641	-73.0689
86475.8	0.00631	-73.1663
