Cytomass frequency sweep file		
		
File creation date:	6/1/18	
File creation time:	1:44:46 PM	
		
Sweep parameters		
Centre frequency (Hz):	51186.07735	
Sweep range (Hz):	50000	
Excitation amplitude (V):	4.42	
Number of points:	256	
Step time (s):	0.1	
		
		
Fit parameters		
Q factor:	2.630017	
Prior reference phase (deg):	148.653705	
Phase offset (deg):	-0.154665	
New reference phase (deg):	148.80837	
Reference frequency (Hz):	51186.07735	
Peak amplitude frequency (Hz):	50965.09135	
		
		
Sweep data		
Frequency (Hz)	Amplitude (V)	Phase (deg)
61820.1	0.00704	84.8977
61973	0.00728	83.8658
62126	0.00718	83.2052
62278.9	0.00722	85.9347
62431.8	0.00686	82.3386
62584.8	0.00734	80.9969
62737.7	0.00765	83.3836
62890.7	0.00743	77.4592
63043.6	0.00756	81.5212
63196.5	0.00798	78.8602
63349.5	0.00746	81.9027
63502.4	0.00754	80.4031
63655.4	0.0078	77.6776
63808.3	0.00783	80.9858
63961.3	0.00805	77.9872
64114.2	0.00783	74.4246
64267.1	0.00805	77.1701
64420.1	0.00773	76.5423
64573	0.00794	76.3517
64726	0.00796	76.3401
64878.9	0.00813	75.0641
65031.8	0.00793	75.7468
65184.8	0.00809	76.3361
65337.7	0.00823	76.3693
65490.7	0.00855	75.1404
65643.6	0.00845	73.9596
65796.6	0.00851	73.6935
65949.5	0.00874	73.8176
66102.4	0.00858	71.7495
66255.4	0.00847	72.1997
66408.3	0.00847	72.7389
66561.3	0.00876	70.8231
66714.2	0.00869	71.5847
66867.1	0.0092	67.2483
67020.1	0.00869	68.1945
67173	0.00904	68.8981
67326	0.00884	69.3646
67478.91	0.00877	66.2122
67631.85	0.00919	66.4579
67784.79	0.00946	62.7624
67937.73	0.0093	63.9294
68090.67	0.00914	62.7984
68243.62	0.0096	65.5478
68396.56	0.00925	63.0171
68549.5	0.00962	61.0665
68702.44	0.00963	61.0551
68855.38	0.01001	60.417
69008.32	0.01001	61.0303
69161.26	0.00986	58.9778
69314.21	0.00958	58.8969
69467.15	0.01011	56.8523
69620.09	0.01023	57.2909
69773.03	0.00977	55.5166
69925.97	0.01064	56.3672
70078.91	0.01089	53.521
70231.85	0.01058	56.8351
70384.8	0.01055	53.2641
70537.74	0.01044	52.0103
70690.68	0.01075	50.1901
70843.62	0.0112	49.857
70996.56	0.01123	48.2529
71149.5	0.01098	48.4794
71302.44	0.01129	46.8225
71455.39	0.01156	48.2415
71608.33	0.0112	45.0418
71761.27	0.01167	44.1735
71914.21	0.01156	45.0672
72067.15	0.01142	42.0567
72220.09	0.01186	42.0513
72373.03	0.01178	41.3742
72525.98	0.01177	39.7755
72678.92	0.01218	39.3535
72831.86	0.01189	37.2549
72984.8	0.0122	37.2312
73137.74	0.01218	35.0935
73290.68	0.01209	34.3838
73443.62	0.01259	33.0375
73596.56	0.01218	33.2435
73749.51	0.01262	31.0477
73902.45	0.01254	27.3951
74055.39	0.01238	28.4138
74208.33	0.01283	26.1851
74361.27	0.01277	26.7264
74514.21	0.0127	24.4483
74667.15	0.01251	23.308
74820.09	0.01297	23.1849
74973.03	0.01287	21.707
75125.98	0.01309	20.0492
75278.92	0.01298	17.4385
75431.86	0.01328	16.8857
75584.8	0.01303	16.2784
75737.74	0.01356	14.3009
75890.68	0.01295	14.8437
76043.62	0.01303	11.8573
76196.56	0.01343	10.3632
76349.505	0.013	9.07103
76502.446	0.01302	9.46603
76655.387	0.01343	8.05091
76808.329	0.01289	4.47561
76961.27	0.01308	3.08831
77114.211	0.01258	2.22158
77267.152	0.01271	1.57291
77420.0932	0.01305	-0.22994
77573.034	0.01269	-1.20527
77725.976	0.01281	-2.74837
77878.917	0.01268	-4.76038
78031.858	0.01289	-6.50882
78184.799	0.01307	-7.21003
78337.74	0.01243	-7.83089
78490.68	0.01276	-11.1668
78643.62	0.01249	-10.5711
78796.56	0.01262	-12.4275
78949.5	0.01235	-13.148
79102.45	0.01208	-15.3829
79255.39	0.01219	-16.1069
79408.33	0.01217	-18.2892
79561.27	0.01209	-18.9316
79714.21	0.01196	-21.0831
79867.15	0.01149	-20.7789
80020.09	0.01135	-22.6518
80173.03	0.0115	-23.4546
80325.98	0.01167	-23.9824
80478.92	0.01164	-26.3765
80631.86	0.01122	-25.9266
80784.8	0.01108	-28.7359
80937.74	0.01138	-30.6042
81090.68	0.01109	-31.4835
81243.62	0.01072	-30.1708
81396.56	0.01054	-31.8763
81549.5	0.01071	-33.1285
81702.45	0.0104	-35.0048
81855.39	0.01037	-36.8157
82008.33	0.01014	-36.7669
82161.27	0.01032	-37.301
82314.21	0.00994	-38.4965
82467.15	0.00987	-39.5298
82620.09	0.00994	-40.6295
82773.04	0.00972	-38.5453
82925.98	0.00964	-42.2842
83078.92	0.00942	-43.1986
83231.86	0.00941	-43.5917
83384.8	0.00903	-44.433
83537.74	0.00912	-45.5411
83690.68	0.00916	-45.3625
83843.63	0.00896	-49.0594
83996.57	0.00893	-49.0537
84149.51	0.0087	-49.8771
84302.45	0.00879	-47.997
84455.39	0.00841	-49.1638
84608.33	0.00881	-50.0225
84761.27	0.00824	-50.9358
84914.22	0.0085	-52.4699
85067.16	0.00823	-51.9746
85220.1	0.00812	-55.1103
85373.04	0.00794	-53.7525
85525.98	0.0083	-55.7552
85678.92	0.00778	-55.6301
85831.86	0.00731	-55.6238
85984.81	0.00787	-56.0001
86137.75	0.00745	-58.5105
86290.69	0.00757	-59.723
86443.63	0.00728	-59.4964
86596.57	0.00684	-63.3035
86749.51	0.00707	-57.8233
86902.45	0.00692	-59.4096
87055.39	0.00731	-59.8046
87208.34	0.00725	-62.543
87361.3	0.00714	-62.0318
87514.2	0.00706	-64.1908
87667.2	0.007	-62.54
87820.1	0.00681	-67.4537
87973	0.00658	-64.6583
88126	0.00708	-67.34
88278.9	0.00661	-67.0381
88431.9	0.00671	-66.2978
88584.8	0.00608	-66.0981
88737.8	0.00654	-68.288
88890.7	0.00654	-67.6781
