Cytomass frequency sweep file

File creation date:	6/28/2018
File creation time:	4:17:58 PM

Sweep parameters
Centre frequency (Hz):	84597.584983
Sweep range (Hz):	60000.000000
Excitation amplitude (V):	4.600000
Number of points:	256
Step time (s):	0.100000


Fit parameters
Q factor:	3.034323
Prior reference phase (deg):	-177.246211
Phase offset (deg):	-0.245292
New reference phase (deg):	-177.000919
Reference frequency (Hz):	84597.584983
Peak amplitude frequency (Hz):	81780.697468


Sweep data
Frequency (Hz)	Amplitude (V)	Phase (deg)
54487.333782	10.583400	108.155000
54721.708782	10.781100	108.274000
54956.083782	10.727300	107.913000
55190.458782	10.799600	104.936000
55424.833782	10.660500	105.403000
55659.208782	10.699900	105.779000
55893.583782	10.987000	104.837000
56127.958782	10.894000	103.919000
56362.333782	11.101200	104.239000
56596.708782	11.025000	103.018000
56831.083782	11.324500	103.071000
57065.458782	11.034000	102.285000
57299.833782	11.184100	103.936000
57534.208782	11.297500	103.322000
57768.583782	11.309600	102.227000
58002.958782	11.426000	100.186000
58237.333782	11.425000	99.822500
58471.708782	11.439700	100.363000
58706.083782	11.632500	99.181400
58940.458782	11.729800	98.774500
59174.833782	11.476000	98.307900
59409.208782	11.772700	98.105900
59643.583782	11.785900	96.845900
59877.958782	11.622400	96.621700
60112.333782	11.831100	95.295700
60346.708782	11.818700	96.281500
60581.083782	12.140100	95.088500
60815.458782	12.095800	94.383300
61049.833782	12.305000	94.349000
61284.208782	12.010900	94.117800
61518.583782	12.181600	92.323300
61752.958782	12.466300	92.682900
61987.333782	12.440400	92.481000
62221.708782	12.405000	90.611200
62456.083782	12.494800	90.296600
62690.458782	12.405200	90.399200
62924.833782	12.764900	89.633500
63159.208782	12.856800	87.885100
63393.583782	12.570600	88.973000
63627.958782	12.926000	88.877100
63862.333782	12.721800	87.915100
64096.708782	12.968700	85.895100
64331.083782	12.969700	86.330900
64565.458782	13.216900	85.845300
64799.833782	12.996200	85.856300
65034.208782	13.239500	84.213400
65268.583782	13.311500	83.105200
65502.958782	13.078700	83.230400
65737.333782	13.349800	83.014300
65971.708782	13.417800	82.637000
66206.083782	13.552500	81.330000
66440.458782	13.662000	80.422800
66674.833782	13.585800	78.947900
66909.208782	13.672800	78.997400
67143.583782	13.677000	77.256800
67377.958782	14.115400	78.015300
67612.333782	14.089200	75.765100
67846.708782	13.939700	76.454900
68081.083782	13.961200	76.155100
68315.458782	14.200700	75.079200
68549.833782	14.286300	74.218900
68784.208782	14.688300	72.439700
69018.583782	14.674500	71.444700
69252.958782	14.585400	71.191100
